lake,wl,Statistic,Value,Side,Variable
thi,412.0,std,0.06231838863022724,b,b_412_std
thi,440.0,std,0.06298073743890227,b,b_440_std
thi,488.0,std,0.06282436714707451,b,b_488_std
thi,510.0,std,0.06468704662224277,b,b_510_std
thi,532.0,std,0.06329734074359948,b,b_532_std
thi,555.0,std,0.06109559995437153,b,b_555_std
thi,650.0,std,0.05858353278332778,b,b_650_std
thi,676.0,std,0.061628151192600726,b,b_676_std
thi,715.0,std,0.05900670817972368,b,b_715_std
bea,412.0,mean,0.6052527309691129,c,c_412_mean
bea,440.0,mean,0.4840139205668761,c,c_440_mean
bea,488.0,mean,0.35242895060718826,c,c_488_mean
bea,510.0,mean,0.3014612067569837,c,c_510_mean
bea,532.0,mean,0.2507127027991363,c,c_532_mean
bea,555.0,mean,0.2129236773123964,c,c_555_mean
bea,650.0,mean,0.10545357209217963,c,c_650_mean
bea,676.0,mean,0.09691548932898897,c,c_676_mean
bea,715.0,mean,0.07369597550279218,c,c_715_mean
ch6,412.0,mean,5.606980263585687,c,c_412_mean
ch6,440.0,mean,4.977501175066021,c,c_440_mean
ch6,488.0,mean,4.339116313754318,c,c_488_mean
ch6,510.0,mean,4.152303730101882,c,c_510_mean
ch6,532.0,mean,4.0898636830442205,c,c_532_mean
ch6,555.0,mean,3.802392945802585,c,c_555_mean
ch6,650.0,mean,3.4253416096852733,c,c_650_mean
ch6,676.0,mean,3.1459654031028763,c,c_676_mean
ch6,715.0,mean,3.045092614506331,c,c_715_mean
dor,412.0,mean,5.0042038496942585,c,c_412_mean
dor,440.0,mean,4.846592309867815,c,c_440_mean
dor,488.0,mean,4.6696055665368625,c,c_488_mean
dor,510.0,mean,4.649712464294809,c,c_510_mean
dor,532.0,mean,4.6822132175660345,c,c_532_mean
dor,555.0,mean,4.577740655330571,c,c_555_mean
dor,650.0,mean,4.584928421087996,c,c_650_mean
dor,676.0,mean,4.490566466735767,c,c_676_mean
dor,715.0,mean,4.480812572104528,c,c_715_mean
egg,412.0,mean,3.890560388365472,c,c_412_mean
egg,440.0,mean,2.5795258766539764,c,c_440_mean
egg,488.0,mean,1.5925339588708116,c,c_488_mean
egg,510.0,mean,1.3612386436520527,c,c_510_mean
egg,532.0,mean,1.1254314326092971,c,c_532_mean
egg,555.0,mean,1.0148558000904275,c,c_555_mean
egg,650.0,mean,0.6819855901754663,c,c_650_mean
egg,676.0,mean,0.7846813948553248,c,c_676_mean
egg,715.0,mean,0.6924074758530883,c,c_715_mean
flt,412.0,mean,5.2562781645890295,c,c_412_mean
flt,440.0,mean,4.6069069037572445,c,c_440_mean
flt,488.0,mean,3.9841922275142743,c,c_488_mean
flt,510.0,mean,3.8001601114362273,c,c_510_mean
flt,532.0,mean,3.696387116972629,c,c_532_mean
flt,555.0,mean,3.4877103833609784,c,c_555_mean
flt,650.0,mean,3.1858147961518477,c,c_650_mean
flt,676.0,mean,3.0368477745078986,c,c_676_mean
flt,715.0,mean,2.9509271565659483,c,c_715_mean
gst,412.0,mean,2.8354062235850988,c,c_412_mean
gst,440.0,mean,2.7703694117659405,c,c_440_mean
gst,488.0,mean,2.681647356099492,c,c_488_mean
gst,510.0,mean,2.66308017846992,c,c_510_mean
gst,532.0,mean,2.645833313124597,c,c_532_mean
gst,555.0,mean,2.6135877092190487,c,c_555_mean
gst,650.0,mean,2.566527653819039,c,c_650_mean
gst,676.0,mean,2.5432609482365054,c,c_676_mean
gst,715.0,mean,2.5205382844668827,c,c_715_mean
lim,412.0,mean,7.722972873959755,c,c_412_mean
lim,440.0,mean,6.950476171638208,c,c_440_mean
lim,488.0,mean,6.099336374768011,c,c_488_mean
lim,510.0,mean,5.7896706192733465,c,c_510_mean
lim,532.0,mean,5.514857258953144,c,c_532_mean
lim,555.0,mean,5.229220841265089,c,c_555_mean
lim,650.0,mean,4.489671275905855,c,c_650_mean
lim,676.0,mean,4.316255665000853,c,c_676_mean
lim,715.0,mean,4.088485534433602,c,c_715_mean
lit,412.0,mean,7.265736723594871,c,c_412_mean
lit,440.0,mean,6.783036338875207,c,c_440_mean
lit,488.0,mean,5.974404648675478,c,c_488_mean
lit,510.0,mean,5.573992697307008,c,c_510_mean
lit,532.0,mean,5.149465653620738,c,c_532_mean
lit,555.0,mean,4.7229265682946915,c,c_555_mean
lit,650.0,mean,3.3442336517272513,c,c_650_mean
lit,676.0,mean,3.333823253373632,c,c_676_mean
lit,715.0,mean,2.8238335926866327,c,c_715_mean
rat,412.0,mean,11.054623177276467,c,c_412_mean
rat,440.0,mean,8.304056398971927,c,c_440_mean
rat,488.0,mean,6.027423304381786,c,c_488_mean
rat,510.0,mean,5.242325519825705,c,c_510_mean
rat,532.0,mean,4.544939805447294,c,c_532_mean
rat,555.0,mean,4.053300031963268,c,c_555_mean
rat,650.0,mean,2.814582993772791,c,c_650_mean
rat,676.0,mean,2.698712151336077,c,c_676_mean
rat,715.0,mean,2.4228876845356835,c,c_715_mean
rob,412.0,mean,3.947457862217462,c,c_412_mean
rob,440.0,mean,3.7807398745667538,c,c_440_mean
rob,488.0,mean,3.6397743415366968,c,c_488_mean
rob,510.0,mean,3.6025113561498685,c,c_510_mean
rob,532.0,mean,3.632282208200893,c,c_532_mean
rob,555.0,mean,3.54909216742556,c,c_555_mean
rob,650.0,mean,3.5449701286554145,c,c_650_mean
rob,676.0,mean,3.3980303716446723,c,c_676_mean
rob,715.0,mean,3.3937145561887783,c,c_715_mean
roc,412.0,mean,2.1832807212787264,c,c_412_mean
roc,440.0,mean,1.8869306345900136,c,c_440_mean
